,Address,Latitude,Longitude,유형
242,서울특별시 마포구 동교동 190-1,37.55941140280459,126.92487934000891,보도 중앙
243,서울특별시 마포구 상수동 309-21,37.54698672963537,126.92360358287851,지하철역 진출입로 및 주변
244,서울특별시 마포구 동교동 192-44,37.55795735243552,126.92435842903984,보도와 차도가 구분된 도로의 차도
245,서울특별시 마포구 동교동 192-44,37.55795735243552,126.92435842903984,보도와 차도가 구분된 도로의 차도
246,서울특별시 관악구 봉천동 1728-3,37.482417112766726,126.96120689211541,보도와 차도가 구분된 도로의 차도
247,서울특별시 관악구 봉천동 100-187,37.481854098045176,126.9618429799284,보도와 차도가 구분된 도로의 차도
248,서울특별시 강동구 성내동 43-21,37.536404579758376,127.12519928975792,보도와 차도가 구분된 도로의 차도
249,서울특별시 영등포구 여의도동 4,37.521423599500224,126.92977106414759,보도와 차도가 구분된 도로의 차도
250,서울특별시 중랑구 상봉동 81,37.59682302393412,127.09017798950151,보도와 차도가 구분된 도로의 차도
251,서울특별시 용산구 서계동 220-22,37.554328428445494,126.96898433031747,보도와 차도가 구분된 도로의 차도
252,서울특별시 마포구 동교동 190-66,37.556843482925444,126.92800076242881,기타
253,서울특별시 영등포구 문래동1가 8-23,37.51498990313853,126.9027294795364,보도와 차도가 구분된 도로의 차도
254,서울특별시 광진구 자양동 204-1,37.53692233261894,127.0833563482673,보도 중앙
255,서울특별시 영등포구 문래동1가 10-1,37.51446857628228,126.901261973586,보도와 차도가 구분된 도로의 차도
256,서울특별시 영등포구 문래동3가 54-2,37.51357783221229,126.89760225194524,보도와 차도가 구분된 도로의 차도
257,서울특별시 영등포구 문래동3가 82-25,37.5199755135622,126.89134000423549,보도와 차도가 구분된 도로의 차도
258,서울특별시 영등포구 여의도동 85-6,37.52838818135116,126.93395254919452,"횡단보도, 산책로 등"
259,서울특별시 영등포구 당산동1가 15-3,37.520529400061875,126.8970930328379,보도 중앙
260,서울특별시 용산구 원효로2가 91-2,37.53493875573361,126.9607040016683,보도 중앙
261,서울특별시 관악구 신림동 1467-5,37.48447476639298,126.93153619540197,보도 중앙
262,서울특별시 관악구 신림동 808-368,37.4785418512092,126.93271738193977,보도 중앙
263,서울특별시 서초구 서초동 1398,37.4949312191296,127.02711430500793,"횡단보도, 산책로 등"
264,서울특별시 서초구 서초동 1327,37.49561092590401,127.0271023702847,보도 중앙
265,서울특별시 용산구 원효로2가 91-2,37.53493875573361,126.9607040016683,"점자블록, 엘리베이터 입구"
266,서울특별시 서초구 서초동 1327,37.49561092590401,127.0271023702847,"버스정류장, 택시 승강장"
267,서울특별시 노원구 월계동 655-11,37.632167018465275,127.05715387958645,보도와 차도가 구분된 도로의 차도
268,서울특별시 노원구 월계동 654-1,37.632240748769,127.05700306765358,보도와 차도가 구분된 도로의 차도
269,서울특별시 마포구 대흥동 13-128,37.55386974705873,126.94527474367622,보도와 차도가 구분된 도로의 차도
270,서울특별시 성북구 하월곡동 73-21,37.606660386561444,127.04075725099233,보도와 차도가 구분된 도로의 차도
271,서울특별시 영등포구 여의도동 83-6,37.53232890245032,126.92442041903732,보도와 차도가 구분된 도로의 차도
272,서울특별시 중랑구 상봉동 81,37.59682302393412,127.09017798950151,보도와 차도가 구분된 도로의 차도
273,서울특별시 관악구 봉천동 979-7,37.4823350658971,126.94274263785042,보도와 차도가 구분된 도로의 차도
